Year,Month_Num,Season_Spring,Season_Summer,Season_Winter
1880,1,False,False,True
1881,1,False,False,True
1882,1,False,False,True
1883,1,False,False,True
1884,1,False,False,True
1885,1,False,False,True
1886,1,False,False,True
1888,1,False,False,True
1889,1,False,False,True
1890,1,False,False,True
1891,1,False,False,True
1892,1,False,False,True
1894,1,False,False,True
1895,1,False,False,True
1896,1,False,False,True
1897,1,False,False,True
1898,1,False,False,True
1899,1,False,False,True
1900,1,False,False,True
1901,1,False,False,True
1902,1,False,False,True
1903,1,False,False,True
1904,1,False,False,True
1905,1,False,False,True
1906,1,False,False,True
1907,1,False,False,True
1908,1,False,False,True
1910,1,False,False,True
1911,1,False,False,True
1912,1,False,False,True
1913,1,False,False,True
1914,1,False,False,True
1915,1,False,False,True
1916,1,False,False,True
1917,1,False,False,True
1918,1,False,False,True
1919,1,False,False,True
1920,1,False,False,True
1921,1,False,False,True
1922,1,False,False,True
1923,1,False,False,True
1924,1,False,False,True
1925,1,False,False,True
1926,1,False,False,True
1927,1,False,False,True
1928,1,False,False,True
1929,1,False,False,True
1930,1,False,False,True
1931,1,False,False,True
1932,1,False,False,True
1933,1,False,False,True
1934,1,False,False,True
1935,1,False,False,True
1936,1,False,False,True
1937,1,False,False,True
1938,1,False,False,True
1939,1,False,False,True
1940,1,False,False,True
1941,1,False,False,True
1942,1,False,False,True
1943,1,False,False,True
1944,1,False,False,True
1945,1,False,False,True
1946,1,False,False,True
1947,1,False,False,True
1948,1,False,False,True
1949,1,False,False,True
1950,1,False,False,True
1951,1,False,False,True
1952,1,False,False,True
1953,1,False,False,True
1954,1,False,False,True
1955,1,False,False,True
1956,1,False,False,True
1957,1,False,False,True
1958,1,False,False,True
1959,1,False,False,True
1960,1,False,False,True
1961,1,False,False,True
1962,1,False,False,True
1963,1,False,False,True
1964,1,False,False,True
1965,1,False,False,True
1966,1,False,False,True
1967,1,False,False,True
1968,1,False,False,True
1969,1,False,False,True
1970,1,False,False,True
1971,1,False,False,True
1972,1,False,False,True
1973,1,False,False,True
1974,1,False,False,True
1975,1,False,False,True
1976,1,False,False,True
1977,1,False,False,True
1978,1,False,False,True
1979,1,False,False,True
1980,1,False,False,True
1981,1,False,False,True
1982,1,False,False,True
1983,1,False,False,True
1984,1,False,False,True
1985,1,False,False,True
1986,1,False,False,True
1987,1,False,False,True
1988,1,False,False,True
1989,1,False,False,True
1990,1,False,False,True
1991,1,False,False,True
1992,1,False,False,True
1993,1,False,False,True
1994,1,False,False,True
1995,1,False,False,True
1996,1,False,False,True
1997,1,False,False,True
1998,1,False,False,True
1999,1,False,False,True
2000,1,False,False,True
2001,1,False,False,True
2002,1,False,False,True
2003,1,False,False,True
2004,1,False,False,True
2005,1,False,False,True
2006,1,False,False,True
2008,1,False,False,True
2009,1,False,False,True
2010,1,False,False,True
2011,1,False,False,True
2012,1,False,False,True
2013,1,False,False,True
2014,1,False,False,True
2015,1,False,False,True
2018,1,False,False,True
2019,1,False,False,True
2021,1,False,False,True
2022,1,False,False,True
2023,1,False,False,True
1880,2,False,False,True
1881,2,False,False,True
1882,2,False,False,True
1883,2,False,False,True
1884,2,False,False,True
1885,2,False,False,True
1886,2,False,False,True
1888,2,False,False,True
1889,2,False,False,True
1890,2,False,False,True
1891,2,False,False,True
1892,2,False,False,True
1894,2,False,False,True
1895,2,False,False,True
1896,2,False,False,True
1897,2,False,False,True
1898,2,False,False,True
1899,2,False,False,True
1900,2,False,False,True
1901,2,False,False,True
1902,2,False,False,True
1903,2,False,False,True
1904,2,False,False,True
1905,2,False,False,True
1906,2,False,False,True
1907,2,False,False,True
1908,2,False,False,True
1910,2,False,False,True
1911,2,False,False,True
1912,2,False,False,True
1913,2,False,False,True
1914,2,False,False,True
1915,2,False,False,True
1916,2,False,False,True
1917,2,False,False,True
1918,2,False,False,True
1919,2,False,False,True
1920,2,False,False,True
1921,2,False,False,True
1922,2,False,False,True
1923,2,False,False,True
1924,2,False,False,True
1925,2,False,False,True
1926,2,False,False,True
1927,2,False,False,True
1928,2,False,False,True
1929,2,False,False,True
1930,2,False,False,True
1931,2,False,False,True
1932,2,False,False,True
1933,2,False,False,True
1934,2,False,False,True
1935,2,False,False,True
1936,2,False,False,True
1937,2,False,False,True
1938,2,False,False,True
1939,2,False,False,True
1940,2,False,False,True
1941,2,False,False,True
1942,2,False,False,True
1943,2,False,False,True
1944,2,False,False,True
1945,2,False,False,True
1946,2,False,False,True
1947,2,False,False,True
1948,2,False,False,True
1949,2,False,False,True
1950,2,False,False,True
1951,2,False,False,True
1952,2,False,False,True
1953,2,False,False,True
1954,2,False,False,True
1955,2,False,False,True
1956,2,False,False,True
1957,2,False,False,True
1958,2,False,False,True
1959,2,False,False,True
1960,2,False,False,True
1961,2,False,False,True
1962,2,False,False,True
1963,2,False,False,True
1964,2,False,False,True
1965,2,False,False,True
1966,2,False,False,True
1967,2,False,False,True
1968,2,False,False,True
1969,2,False,False,True
1970,2,False,False,True
1971,2,False,False,True
1972,2,False,False,True
1973,2,False,False,True
1974,2,False,False,True
1975,2,False,False,True
1976,2,False,False,True
1977,2,False,False,True
1978,2,False,False,True
1979,2,False,False,True
1980,2,False,False,True
1981,2,False,False,True
1982,2,False,False,True
1983,2,False,False,True
1984,2,False,False,True
1985,2,False,False,True
1986,2,False,False,True
1987,2,False,False,True
1988,2,False,False,True
1989,2,False,False,True
1990,2,False,False,True
1991,2,False,False,True
1992,2,False,False,True
1993,2,False,False,True
1994,2,False,False,True
1995,2,False,False,True
1996,2,False,False,True
1997,2,False,False,True
1998,2,False,False,True
1999,2,False,False,True
2000,2,False,False,True
2001,2,False,False,True
2002,2,False,False,True
2003,2,False,False,True
2004,2,False,False,True
2005,2,False,False,True
2006,2,False,False,True
2008,2,False,False,True
2009,2,False,False,True
2010,2,False,False,True
2011,2,False,False,True
2012,2,False,False,True
2013,2,False,False,True
2014,2,False,False,True
2015,2,False,False,True
2018,2,False,False,True
2019,2,False,False,True
2021,2,False,False,True
2022,2,False,False,True
2023,2,False,False,True
1880,3,True,False,False
1881,3,True,False,False
1882,3,True,False,False
1883,3,True,False,False
1884,3,True,False,False
1885,3,True,False,False
1886,3,True,False,False
1888,3,True,False,False
1889,3,True,False,False
1890,3,True,False,False
1891,3,True,False,False
1892,3,True,False,False
1894,3,True,False,False
1895,3,True,False,False
1896,3,True,False,False
1897,3,True,False,False
1898,3,True,False,False
1899,3,True,False,False
1900,3,True,False,False
1901,3,True,False,False
