Year,Month,Temp_Anomaly,Date,5yr_moving_avg,10yr_moving_avg,Month_Num,Season_Spring,Season_Summer,Season_Winter,Data_Type,Predicted Anomaly
1880,Jan,-0.2,1880-01-01,-0.136,-0.257,1.0,False,False,True,Actual,
1881,Jan,-0.2,1881-01-01,-0.136,-0.257,1.0,False,False,True,Actual,
1882,Jan,0.15,1882-01-01,-0.136,-0.257,1.0,False,False,True,Actual,
1883,Jan,-0.3,1883-01-01,-0.214,-0.257,1.0,False,False,True,Actual,
1884,Jan,-0.13,1884-01-01,-0.262,-0.257,1.0,False,False,True,Actual,
1885,Jan,-0.59,1885-01-01,-0.36,-0.257,1.0,False,False,True,Actual,
1886,Jan,-0.44,1886-01-01,-0.32,-0.271,1.0,False,False,True,Actual,
1888,Jan,-0.34,1888-01-01,-0.378,-0.281,1.0,False,False,True,Actual,
1889,Jan,-0.1,1889-01-01,-0.328,-0.349,1.0,False,False,True,Actual,
1890,Jan,-0.42,1890-01-01,-0.3,-0.361,1.0,False,False,True,Actual,
1891,Jan,-0.34,1891-01-01,-0.338,-0.371,1.0,False,False,True,Actual,
1892,Jan,-0.3,1892-01-01,-0.402,-0.328,1.0,False,False,True,Actual,
1894,Jan,-0.53,1894-01-01,-0.364,-0.287,1.0,False,False,True,Actual,
1895,Jan,-0.42,1895-01-01,-0.328,-0.27,1.0,False,False,True,Actual,
1896,Jan,-0.23,1896-01-01,-0.274,-0.297,1.0,False,False,True,Actual,
1897,Jan,-0.16,1897-01-01,-0.202,-0.2779999999999999,1.0,False,False,True,Actual,
1898,Jan,-0.03,1898-01-01,-0.192,-0.26,1.0,False,False,True,Actual,
1899,Jan,-0.17,1899-01-01,-0.192,-0.255,1.0,False,False,True,Actual,
1900,Jan,-0.37,1900-01-01,-0.192,-0.266,1.0,False,False,True,Actual,
1901,Jan,-0.23,1901-01-01,-0.236,-0.26,1.0,False,False,True,Actual,
1902,Jan,-0.16,1902-01-01,-0.33,-0.265,1.0,False,False,True,Actual,
1903,Jan,-0.25,1903-01-01,-0.328,-0.292,1.0,False,False,True,Actual,
1904,Jan,-0.64,1904-01-01,-0.3379999999999999,-0.3339999999999999,1.0,False,False,True,Actual,
1905,Jan,-0.36,1905-01-01,-0.392,-0.36,1.0,False,False,True,Actual,
1906,Jan,-0.28,1906-01-01,-0.432,-0.385,1.0,False,False,True,Actual,
1907,Jan,-0.43,1907-01-01,-0.39,-0.388,1.0,False,False,True,Actual,
1908,Jan,-0.45,1908-01-01,-0.442,-0.413,1.0,False,False,True,Actual,
1910,Jan,-0.43,1910-01-01,-0.438,-0.385,1.0,False,False,True,Actual,
1911,Jan,-0.62,1911-01-01,-0.434,-0.3429999999999999,1.0,False,False,True,Actual,
1912,Jan,-0.26,1912-01-01,-0.3379999999999999,-0.32,1.0,False,False,True,Actual,
1913,Jan,-0.41,1913-01-01,-0.296,-0.349,1.0,False,False,True,Actual,
1914,Jan,0.03,1914-01-01,-0.198,-0.355,1.0,False,False,True,Actual,
1915,Jan,-0.22,1915-01-01,-0.2599999999999999,-0.3309999999999999,1.0,False,False,True,Actual,
1916,Jan,-0.13,1916-01-01,-0.2759999999999999,-0.313,1.0,False,False,True,Actual,
1917,Jan,-0.57,1917-01-01,-0.324,-0.256,1.0,False,False,True,Actual,
1918,Jan,-0.49,1918-01-01,-0.3299999999999999,-0.2639999999999999,1.0,False,False,True,Actual,
1919,Jan,-0.21,1919-01-01,-0.3139999999999999,-0.25,1.0,False,False,True,Actual,
1920,Jan,-0.25,1920-01-01,-0.268,-0.275,1.0,False,False,True,Actual,
1921,Jan,-0.05,1921-01-01,-0.224,-0.291,1.0,False,False,True,Actual,
1922,Jan,-0.34,1922-01-01,-0.226,-0.257,1.0,False,False,True,Actual,
1923,Jan,-0.27,1923-01-01,-0.252,-0.227,1.0,False,False,True,Actual,
1924,Jan,-0.22,1924-01-01,-0.2,-0.181,1.0,False,False,True,Actual,
1925,Jan,-0.38,1925-01-01,-0.186,-0.205,1.0,False,False,True,Actual,
1926,Jan,0.21,1926-01-01,-0.138,-0.211,1.0,False,False,True,Actual,
1927,Jan,-0.27,1927-01-01,-0.184,-0.217,1.0,False,False,True,Actual,
1928,Jan,-0.03,1928-01-01,-0.17,-0.168,1.0,False,False,True,Actual,
1929,Jan,-0.45,1929-01-01,-0.234,-0.1649999999999999,1.0,False,False,True,Actual,
1930,Jan,-0.31,1930-01-01,-0.15,-0.164,1.0,False,False,True,Actual,
1931,Jan,-0.11,1931-01-01,-0.192,-0.16,1.0,False,False,True,Actual,
1932,Jan,0.15,1932-01-01,-0.144,-0.209,1.0,False,False,True,Actual,
1933,Jan,-0.24,1933-01-01,-0.15,-0.189,1.0,False,False,True,Actual,
1934,Jan,-0.21,1934-01-01,-0.184,-0.178,1.0,False,False,True,Actual,
1935,Jan,-0.34,1935-01-01,-0.228,-0.1379999999999999,1.0,False,False,True,Actual,
1936,Jan,-0.28,1936-01-01,-0.164,-0.1079999999999999,1.0,False,False,True,Actual,
1937,Jan,-0.07,1937-01-01,-0.132,-0.0799999999999999,1.0,False,False,True,Actual,
1938,Jan,0.08,1938-01-01,-0.066,-0.0659999999999999,1.0,False,False,True,Actual,
1939,Jan,-0.05,1939-01-01,0.0239999999999999,-0.043,1.0,False,False,True,Actual,
1940,Jan,-0.01,1940-01-01,0.0959999999999999,0.0139999999999999,1.0,False,False,True,Actual,
1941,Jan,0.17,1941-01-01,0.0779999999999999,0.0579999999999999,1.0,False,False,True,Actual,
1942,Jan,0.29,1942-01-01,0.1599999999999999,0.101,1.0,False,False,True,Actual,
1943,Jan,-0.01,1943-01-01,0.1819999999999999,0.101,1.0,False,False,True,Actual,
1944,Jan,0.36,1944-01-01,0.1779999999999999,0.099,1.0,False,False,True,Actual,
1945,Jan,0.1,1945-01-01,0.1059999999999999,0.11,1.0,False,False,True,Actual,
1946,Jan,0.15,1946-01-01,0.1199999999999999,0.084,1.0,False,False,True,Actual,
1947,Jan,-0.07,1947-01-01,0.0599999999999999,0.033,1.0,False,False,True,Actual,
1948,Jan,0.06,1948-01-01,-0.014,0.015,1.0,False,False,True,Actual,
1949,Jan,0.06,1949-01-01,-0.112,0.023,1.0,False,False,True,Actual,
1950,Jan,-0.27,1950-01-01,-0.076,-0.0369999999999999,1.0,False,False,True,Actual,
1951,Jan,-0.34,1951-01-01,-0.074,-0.0339999999999999,1.0,False,False,True,Actual,
1952,Jan,0.11,1952-01-01,-0.134,-0.0619999999999999,1.0,False,False,True,Actual,
1953,Jan,0.07,1953-01-01,-0.054,-0.0639999999999999,1.0,False,False,True,Actual,
1954,Jan,-0.24,1954-01-01,-0.012,-0.0309999999999999,1.0,False,False,True,Actual,
1955,Jan,0.13,1955-01-01,-0.052,-0.0289999999999999,1.0,False,False,True,Actual,
1956,Jan,-0.13,1956-01-01,0.0119999999999999,-0.0019999999999999,1.0,False,False,True,Actual,
1957,Jan,-0.09,1957-01-01,0.0759999999999999,0.039,1.0,False,False,True,Actual,
1958,Jan,0.39,1958-01-01,0.0499999999999999,0.033,1.0,False,False,True,Actual,
1959,Jan,0.08,1959-01-01,0.0899999999999999,0.023,1.0,False,False,True,Actual,
1960,Jan,0.0,1960-01-01,0.1179999999999999,0.038,1.0,False,False,True,Actual,
1961,Jan,0.07,1961-01-01,0.0339999999999999,0.017,1.0,False,False,True,Actual,
1962,Jan,0.05,1962-01-01,-1.9428902930940238e-17,0.011,1.0,False,False,True,Actual,
1963,Jan,-0.03,1963-01-01,-0.016,0.013,1.0,False,False,True,Actual,
1964,Jan,-0.09,1964-01-01,-0.068,-0.0519999999999999,1.0,False,False,True,Actual,
1965,Jan,-0.08,1965-01-01,-0.092,-0.0709999999999999,1.0,False,False,True,Actual,
1966,Jan,-0.19,1966-01-01,-0.138,-0.0629999999999999,1.0,False,False,True,Actual,
1967,Jan,-0.07,1967-01-01,-0.142,-0.072,1.0,False,False,True,Actual,
1968,Jan,-0.26,1968-01-01,-0.11,-0.099,1.0,False,False,True,Actual,
1969,Jan,-0.11,1969-01-01,-0.076,-0.0669999999999999,1.0,False,False,True,Actual,
1970,Jan,0.08,1970-01-01,-0.106,-0.0679999999999999,1.0,False,False,True,Actual,
1971,Jan,-0.02,1971-01-01,0.0039999999999999,-0.0499999999999999,1.0,False,False,True,Actual,
1972,Jan,-0.22,1972-01-01,0.0059999999999999,-0.0339999999999999,1.0,False,False,True,Actual,
1973,Jan,0.29,1973-01-01,0.0099999999999999,-0.0079999999999999,1.0,False,False,True,Actual,
1974,Jan,-0.1,1974-01-01,0.0079999999999999,0.024,1.0,False,False,True,Actual,
