Date,Year,Month,Temp_Anomaly,5yr_moving_avg,10yr_moving_avg,Month_Num,Season_Spring,Season_Summer,Season_Winter,Data Type,Predicted_Anomaly
1880-01-01,1880.0,Jan,-0.2,-0.136,-0.257,1.0,False,False,True,Actual,
1880-02-01,1880.0,Feb,-0.26,0.3,0.36,2.0,False,False,True,Actual,
1880-03-01,1880.0,Mar,-0.09,0.366,0.3770000000000001,3.0,True,False,False,Actual,
1880-04-01,1880.0,Apr,-0.17,0.392,0.43,4.0,True,False,False,Actual,
1880-05-01,1880.0,May,-0.1,0.3279999999999999,0.377,5.0,True,False,False,Actual,
1880-06-01,1880.0,Jun,-0.22,0.2279999999999999,0.318,6.0,False,True,False,Actual,
1880-07-01,1880.0,Jul,-0.21,0.324,0.373,7.0,False,True,False,Actual,
1880-08-01,1880.0,Aug,-0.11,0.378,0.415,8.0,False,True,False,Actual,
1880-09-01,1880.0,Sep,-0.16,0.3339999999999999,0.37,9.0,False,False,False,Actual,
1880-10-01,1880.0,Oct,-0.23,0.3359999999999999,0.396,10.0,False,False,False,Actual,
1880-11-01,1880.0,Nov,-0.23,0.3439999999999999,0.412,11.0,False,False,False,Actual,
1880-12-01,1880.0,Dec,-0.19,0.3019999999999999,0.381,12.0,False,False,True,Actual,
1881-01-01,1881.0,Jan,-0.2,-0.136,-0.257,1.0,False,False,True,Actual,
1881-02-01,1881.0,Feb,-0.16,0.044,0.244,2.0,False,False,True,Actual,
1881-03-01,1881.0,Mar,0.02,0.1619999999999999,0.265,3.0,True,False,False,Actual,
1881-04-01,1881.0,Apr,0.03,0.146,0.3,4.0,True,False,False,Actual,
1881-05-01,1881.0,May,0.06,0.126,0.243,5.0,True,False,False,Actual,
1881-06-01,1881.0,Jun,-0.19,0.0439999999999999,0.192,6.0,False,True,False,Actual,
1881-07-01,1881.0,Jul,0.0,0.124,0.263,7.0,False,True,False,Actual,
1881-08-01,1881.0,Aug,-0.05,0.1599999999999999,0.3,8.0,False,True,False,Actual,
1881-09-01,1881.0,Sep,-0.16,0.0979999999999999,0.263,9.0,False,False,False,Actual,
1881-10-01,1881.0,Oct,-0.22,0.1339999999999999,0.292,10.0,False,False,False,Actual,
1881-11-01,1881.0,Nov,-0.19,0.1019999999999999,0.287,11.0,False,False,False,Actual,
1881-12-01,1881.0,Dec,-0.08,0.1319999999999999,0.287,12.0,False,False,True,Actual,
1882-01-01,1882.0,Jan,0.15,-0.136,-0.257,1.0,False,False,True,Actual,
1882-02-01,1882.0,Feb,0.13,-0.15,0.1,2.0,False,False,True,Actual,
1882-03-01,1882.0,Mar,0.04,-0.106,0.127,3.0,True,False,False,Actual,
1882-04-01,1882.0,Apr,-0.17,-0.182,0.155,4.0,True,False,False,Actual,
1882-05-01,1882.0,May,-0.14,-0.14,0.117,5.0,True,False,False,Actual,
1882-06-01,1882.0,Jun,-0.23,-0.2139999999999999,0.071,6.0,False,True,False,Actual,
1882-07-01,1882.0,Jul,-0.17,-0.154,0.155,7.0,False,True,False,Actual,
1882-08-01,1882.0,Aug,-0.08,-0.134,0.175,8.0,False,True,False,Actual,
1882-09-01,1882.0,Sep,-0.15,-0.196,0.1439999999999999,9.0,False,False,False,Actual,
1882-10-01,1882.0,Oct,-0.24,-0.212,0.1709999999999999,10.0,False,False,False,Actual,
1882-11-01,1882.0,Nov,-0.17,-0.234,0.1599999999999999,11.0,False,False,False,Actual,
1882-12-01,1882.0,Dec,-0.37,-0.2140000000000001,0.1629999999999999,12.0,False,False,True,Actual,
1883-01-01,1883.0,Jan,-0.3,-0.214,-0.257,1.0,False,False,True,Actual,
1883-02-01,1883.0,Feb,-0.37,-0.166,-0.0169999999999999,2.0,False,False,True,Actual,
1883-03-01,1883.0,Mar,-0.13,-0.142,0.021,3.0,True,False,False,Actual,
1883-04-01,1883.0,Apr,-0.19,-0.2319999999999999,0.045,4.0,True,False,False,Actual,
1883-05-01,1883.0,May,-0.18,-0.212,0.019,5.0,True,False,False,Actual,
1883-06-01,1883.0,Jun,-0.08,-0.258,-0.0249999999999999,6.0,False,True,False,Actual,
1883-07-01,1883.0,Jul,-0.08,-0.18,0.06,7.0,False,True,False,Actual,
1883-08-01,1883.0,Aug,-0.15,-0.176,0.0669999999999999,8.0,False,True,False,Actual,
1883-09-01,1883.0,Sep,-0.23,-0.222,0.0509999999999999,9.0,False,False,False,Actual,
1883-10-01,1883.0,Oct,-0.12,-0.214,0.0799999999999999,10.0,False,False,False,Actual,
1883-11-01,1883.0,Nov,-0.24,-0.2360000000000001,0.0639999999999999,11.0,False,False,False,Actual,
1883-12-01,1883.0,Dec,-0.12,-0.1980000000000001,0.0669999999999999,12.0,False,False,True,Actual,
1884-01-01,1884.0,Jan,-0.13,-0.262,-0.257,1.0,False,False,True,Actual,
1884-02-01,1884.0,Feb,-0.09,-0.236,-0.0919999999999999,2.0,False,False,True,Actual,
1884-03-01,1884.0,Mar,-0.37,-0.232,-0.0619999999999999,3.0,True,False,False,Actual,
1884-04-01,1884.0,Apr,-0.41,-0.294,-0.0499999999999999,4.0,True,False,False,Actual,
1884-05-01,1884.0,May,-0.34,-0.274,-0.0659999999999999,5.0,True,False,False,Actual,
1884-06-01,1884.0,Jun,-0.35,-0.29,-0.119,6.0,False,True,False,Actual,
1884-07-01,1884.0,Jul,-0.31,-0.216,-0.0399999999999999,7.0,False,True,False,Actual,
1884-08-01,1884.0,Aug,-0.28,-0.228,-0.048,8.0,False,True,False,Actual,
1884-09-01,1884.0,Sep,-0.28,-0.238,-0.068,9.0,False,False,False,Actual,
1884-10-01,1884.0,Oct,-0.25,-0.226,-0.035,10.0,False,False,False,Actual,
1884-11-01,1884.0,Nov,-0.34,-0.2540000000000001,-0.067,11.0,False,False,False,Actual,
1884-12-01,1884.0,Dec,-0.31,-0.234,-0.035,12.0,False,False,True,Actual,
1885-01-01,1885.0,Jan,-0.59,-0.36,-0.257,1.0,False,False,True,Actual,
1885-02-01,1885.0,Feb,-0.34,-0.334,-0.225,2.0,False,False,True,Actual,
1885-03-01,1885.0,Mar,-0.27,-0.324,-0.1999999999999999,3.0,True,False,False,Actual,
1885-04-01,1885.0,Apr,-0.42,-0.302,-0.2029999999999999,4.0,True,False,False,Actual,
1885-05-01,1885.0,May,-0.46,-0.29,-0.205,5.0,True,False,False,Actual,
1885-06-01,1885.0,Jun,-0.44,-0.2779999999999999,-0.238,6.0,False,True,False,Actual,
1885-07-01,1885.0,Jul,-0.34,-0.204,-0.176,7.0,False,True,False,Actual,
1885-08-01,1885.0,Aug,-0.32,-0.244,-0.207,8.0,False,True,False,Actual,
1885-09-01,1885.0,Sep,-0.29,-0.232,-0.224,9.0,False,False,False,Actual,
1885-10-01,1885.0,Oct,-0.24,-0.176,-0.208,10.0,False,False,False,Actual,
1885-11-01,1885.0,Nov,-0.24,-0.2160000000000001,-0.245,11.0,False,False,False,Actual,
1885-12-01,1885.0,Dec,-0.11,-0.1680000000000001,-0.209,12.0,False,False,True,Actual,
1886-01-01,1886.0,Jan,-0.44,-0.32,-0.271,1.0,False,False,True,Actual,
