Year,Month,Temp_Anomaly,Date,5yr_moving_avg,10yr_moving_avg,Month_Num,Season_Spring,Season_Summer,Season_Winter
1880,Jan,-0.2,1880-01-01,-0.136,-0.257,1,False,False,True
1881,Jan,-0.2,1881-01-01,-0.136,-0.257,1,False,False,True
1882,Jan,0.15,1882-01-01,-0.136,-0.257,1,False,False,True
1883,Jan,-0.3,1883-01-01,-0.214,-0.257,1,False,False,True
1884,Jan,-0.13,1884-01-01,-0.262,-0.257,1,False,False,True
1885,Jan,-0.59,1885-01-01,-0.36,-0.257,1,False,False,True
1886,Jan,-0.44,1886-01-01,-0.32,-0.271,1,False,False,True
1888,Jan,-0.34,1888-01-01,-0.378,-0.281,1,False,False,True
1889,Jan,-0.1,1889-01-01,-0.328,-0.349,1,False,False,True
1890,Jan,-0.42,1890-01-01,-0.3,-0.361,1,False,False,True
1891,Jan,-0.34,1891-01-01,-0.338,-0.371,1,False,False,True
1892,Jan,-0.3,1892-01-01,-0.402,-0.328,1,False,False,True
1894,Jan,-0.53,1894-01-01,-0.364,-0.287,1,False,False,True
1895,Jan,-0.42,1895-01-01,-0.328,-0.27,1,False,False,True
1896,Jan,-0.23,1896-01-01,-0.274,-0.297,1,False,False,True
1897,Jan,-0.16,1897-01-01,-0.202,-0.2779999999999999,1,False,False,True
1898,Jan,-0.03,1898-01-01,-0.192,-0.26,1,False,False,True
1899,Jan,-0.17,1899-01-01,-0.192,-0.255,1,False,False,True
1900,Jan,-0.37,1900-01-01,-0.192,-0.266,1,False,False,True
1901,Jan,-0.23,1901-01-01,-0.236,-0.26,1,False,False,True
1902,Jan,-0.16,1902-01-01,-0.33,-0.265,1,False,False,True
1903,Jan,-0.25,1903-01-01,-0.328,-0.292,1,False,False,True
1904,Jan,-0.64,1904-01-01,-0.3379999999999999,-0.3339999999999999,1,False,False,True
1905,Jan,-0.36,1905-01-01,-0.392,-0.36,1,False,False,True
1906,Jan,-0.28,1906-01-01,-0.432,-0.385,1,False,False,True
1907,Jan,-0.43,1907-01-01,-0.39,-0.388,1,False,False,True
1908,Jan,-0.45,1908-01-01,-0.442,-0.413,1,False,False,True
1910,Jan,-0.43,1910-01-01,-0.438,-0.385,1,False,False,True
1911,Jan,-0.62,1911-01-01,-0.434,-0.3429999999999999,1,False,False,True
1912,Jan,-0.26,1912-01-01,-0.3379999999999999,-0.32,1,False,False,True
1913,Jan,-0.41,1913-01-01,-0.296,-0.349,1,False,False,True
1914,Jan,0.03,1914-01-01,-0.198,-0.355,1,False,False,True
1915,Jan,-0.22,1915-01-01,-0.2599999999999999,-0.3309999999999999,1,False,False,True
1916,Jan,-0.13,1916-01-01,-0.2759999999999999,-0.313,1,False,False,True
1917,Jan,-0.57,1917-01-01,-0.324,-0.256,1,False,False,True
1918,Jan,-0.49,1918-01-01,-0.3299999999999999,-0.2639999999999999,1,False,False,True
1919,Jan,-0.21,1919-01-01,-0.3139999999999999,-0.25,1,False,False,True
1920,Jan,-0.25,1920-01-01,-0.268,-0.275,1,False,False,True
1921,Jan,-0.05,1921-01-01,-0.224,-0.291,1,False,False,True
1922,Jan,-0.34,1922-01-01,-0.226,-0.257,1,False,False,True
1923,Jan,-0.27,1923-01-01,-0.252,-0.227,1,False,False,True
1924,Jan,-0.22,1924-01-01,-0.2,-0.181,1,False,False,True
1925,Jan,-0.38,1925-01-01,-0.186,-0.205,1,False,False,True
1926,Jan,0.21,1926-01-01,-0.138,-0.211,1,False,False,True
1927,Jan,-0.27,1927-01-01,-0.184,-0.217,1,False,False,True
1928,Jan,-0.03,1928-01-01,-0.17,-0.168,1,False,False,True
1929,Jan,-0.45,1929-01-01,-0.234,-0.1649999999999999,1,False,False,True
1930,Jan,-0.31,1930-01-01,-0.15,-0.164,1,False,False,True
1931,Jan,-0.11,1931-01-01,-0.192,-0.16,1,False,False,True
1932,Jan,0.15,1932-01-01,-0.144,-0.209,1,False,False,True
1933,Jan,-0.24,1933-01-01,-0.15,-0.189,1,False,False,True
1934,Jan,-0.21,1934-01-01,-0.184,-0.178,1,False,False,True
1935,Jan,-0.34,1935-01-01,-0.228,-0.1379999999999999,1,False,False,True
1936,Jan,-0.28,1936-01-01,-0.164,-0.1079999999999999,1,False,False,True
1937,Jan,-0.07,1937-01-01,-0.132,-0.0799999999999999,1,False,False,True
